저장시간,내부온도,내부습도,외부온도,풍속,이슬점,누적일사량
2018-05-10 09:35:00,19.7,64.2,14.9,1.1,12.3,183
2018-05-10 09:36:00,19.7,64.7,14.8,0.8,12.5,186
2018-05-10 09:37:00,19.8,64.2,14.6,0.4,12.5,188
2018-05-10 09:38:00,19.8,63.6,14.9,0.0,12.3,190
2018-05-10 09:39:00,19.8,63.5,15.1,0.7,12.3,192
2018-05-10 09:40:00,19.8,63.5,15.1,0.6,12.3,194
2018-05-10 09:41:00,19.8,63.5,15.0,0.3,12.2,196
2018-05-10 09:42:00,19.8,63.5,15.0,0.9,12.2,198
2018-05-10 09:43:00,19.8,63.2,14.9,0.9,12.1,200
2018-05-10 09:44:00,19.8,63.2,14.6,0.8,12.2,203
2018-05-10 09:45:00,19.9,62.5,14.6,0.7,12.2,205
2018-05-10 09:46:00,19.9,62.9,14.8,1.2,12.3,208
2018-05-10 09:47:00,20.1,63.8,14.8,0.1,12.6,210
2018-05-10 09:48:00,20.2,63.6,14.9,0.0,12.7,213
2018-05-10 09:49:00,20.3,63.9,15.2,1.1,12.8,216
2018-05-10 09:50:00,20.4,63.1,15.3,0.6,12.7,219
2018-05-10 09:51:00,20.6,61.9,15.5,0.7,12.6,222
2018-05-10 09:52:00,20.9,61.4,15.5,2.0,12.8,226
2018-05-10 09:53:00,21.1,61.6,15.4,1.4,13.0,229
2018-05-10 09:54:00,21.3,61.6,15.1,1.0,13.1,232
2018-05-10 09:55:00,21.3,61.3,15.3,1.0,13.1,234
2018-05-10 09:56:00,21.3,61.0,15.6,0.5,12.9,237
2018-05-10 09:57:00,21.3,60.9,15.7,0.9,12.9,239
2018-05-10 09:58:00,21.2,60.7,15.4,0.3,12.7,242
2018-05-10 09:59:00,21.2,60.6,15.5,0.3,12.7,244
2018-05-10 10:00:00,21.1,60.8,15.4,1.1,12.7,247
2018-05-10 10:01:00,21.0,60.7,15.1,0.7,12.6,249
2018-05-10 10:02:00,20.9,60.5,15.1,1.1,12.5,252
2018-05-10 10:03:00,20.9,60.6,15.3,1.3,12.6,254
2018-05-10 10:04:00,20.9,60.6,15.5,1.3,12.5,257
2018-05-10 10:05:00,20.9,61.3,15.5,1.0,12.7,260
